age_class,GESCHL,areaID,GEBSTAAT_OE,GEBSTAAT_EU,age,STAATB_OE,EDU_HAB_NAT,Beruf_cat1,Beruf_cat2,Beruf_cat3,Beruf_cat0,Nachtig_pEinw,Betriebe_pEinw,Betten_pEinw,einkommen,einkommen_q1_anteil,einkommen_q5_anteil,ASBESCH_pEinw1,ASBESCH_pEinw2,ASBESCH_pEinw3,ASUMS_pEinw1,ASUMS_pEinw2,ASUMS_pEinw3,Ankunft_pEinw_q1,Ankunft_pEinw_q2,Ankunft_pEinw_q3,Ankunft_pEinw_q4,G3_enc,weight,ID,strata
1,1,001,1,1,23,1,2,0,0,0,0,3,0.002,0.007,37896,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,1,11
1,1,001,1,0,20,1,3,0,0,0,0,3,0.002,0.007,-23066,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,2,11
1,1,001,1,1,23,1,3,0,0,0,0,3,0.002,0.007,-2810,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,3,11
1,1,001,0,1,16,1,1,0,0,0,0,3,0.002,0.007,21839,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,4,11
1,1,001,1,1,20,1,1,0,0,0,0,3,0.002,0.007,33321,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,5,11
1,1,001,1,1,24,1,3,0,0,0,0,3,0.002,0.007,81832,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,6,11
1,1,001,1,1,16,1,2,0,0,0,0,3,0.002,0.007,16491,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,7,11
1,1,001,1,1,16,1,2,0,0,0,0,3,0.002,0.007,48151,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,8,11
1,1,001,1,1,18,1,3,0,0,0,0,3,0.002,0.007,59395,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,9,11
1,1,001,1,1,24,1,1,0,0,0,0,3,0.002,0.007,16732,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,10,11
1,1,001,1,1,16,1,3,0,0,0,0,3,0.002,0.007,25540,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,11,11
1,1,001,1,1,15,1,2,0,0,0,0,3,0.002,0.007,35260,0.17,0.16,0.008,0.015,0.009,0.12,0.6,0.2,0.2,0.4,0.8,0.2,,,12,11
1,1,002,0,1,16,0,2,0,0,0,0,40,0.2,0.02,48442,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,13,11
1,1,002,0,1,22,1,1,0,0,1,0,40,0.2,0.02,9417,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,14,11
1,1,002,0,1,16,0,2,0,0,0,0,40,0.2,0.02,11363,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,15,11
1,1,002,1,1,15,1,3,0,0,0,0,40,0.2,0.02,50580,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,16,11
1,1,002,1,1,20,1,2,0,0,0,0,40,0.2,0.02,55846,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,17,11
1,1,002,1,1,23,1,2,0,0,0,0,40,0.2,0.02,72269,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,18,11
1,1,002,1,1,24,1,2,0,0,0,0,40,0.2,0.02,67681,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,19,11
1,1,002,0,1,15,1,2,0,0,0,0,40,0.2,0.02,58377,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,20,11
1,1,002,0,1,17,1,1,0,0,0,0,40,0.2,0.02,31050,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,21,11
1,1,002,1,1,17,0,3,0,0,0,0,40,0.2,0.02,54345,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,22,11
1,1,002,1,1,23,0,3,0,0,0,0,40,0.2,0.02,-136,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,23,11
1,1,002,1,1,24,0,2,1,0,0,0,40,0.2,0.02,-648,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,24,11
1,1,002,1,1,23,1,1,0,0,0,0,40,0.2,0.02,62122,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,25,11
1,1,002,1,1,20,1,2,0,0,0,0,40,0.2,0.02,39528,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,26,11
1,1,002,0,1,19,1,2,0,0,0,0,40,0.2,0.02,47170,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,27,11
1,1,002,0,1,16,0,2,0,0,0,0,40,0.2,0.02,8050,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,28,11
1,1,002,1,1,23,1,1,0,0,0,0,40,0.2,0.02,51545,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,29,11
1,1,002,0,1,16,1,2,0,0,0,0,40,0.2,0.02,33289,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,30,11
1,1,002,1,1,19,1,1,0,0,0,0,40,0.2,0.02,46351,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,31,11
1,1,002,1,1,20,1,3,0,0,0,0,40,0.2,0.02,12415,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,32,11
1,1,002,1,1,16,1,3,0,0,0,0,40,0.2,0.02,63926,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,33,11
1,1,002,0,1,15,1,1,0,0,0,0,40,0.2,0.02,65519,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,34,11
1,1,002,1,1,23,1,2,0,0,0,0,40,0.2,0.02,110453,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,35,11
1,1,002,0,1,17,1,2,0,0,0,0,40,0.2,0.02,13827,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,36,11
1,1,002,1,0,21,0,3,0,0,0,0,40,0.2,0.02,68464,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,37,11
1,1,002,1,1,24,1,1,0,0,0,0,40,0.2,0.02,48507,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,38,11
1,1,002,1,1,16,1,2,0,0,0,0,40,0.2,0.02,21095,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,39,11
1,1,002,1,1,19,0,3,0,0,0,0,40,0.2,0.02,47452,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,40,11
1,1,002,1,1,16,1,1,0,0,0,0,40,0.2,0.02,45081,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,41,11
1,1,002,1,1,16,0,3,0,0,0,0,40,0.2,0.02,27340,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,42,11
1,1,002,0,1,24,1,3,0,0,0,0,40,0.2,0.02,15112,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,43,11
1,1,002,1,1,19,1,1,0,0,0,0,40,0.2,0.02,18967,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,44,11
1,1,002,1,1,17,1,3,0,0,0,0,40,0.2,0.02,23863,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,45,11
1,1,002,1,1,21,1,3,0,0,0,0,40,0.2,0.02,23807,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,46,11
1,1,002,1,1,17,1,3,0,0,0,0,40,0.2,0.02,89912,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,47,11
1,1,002,1,1,18,1,1,0,0,0,0,40,0.2,0.02,42012,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,48,11
1,1,002,1,1,17,1,3,0,0,0,0,40,0.2,0.02,10427,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,49,11
1,1,002,1,1,20,1,3,0,0,1,1,40,0.2,0.02,75978,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,50,11
1,1,002,1,0,22,1,3,0,0,0,0,40,0.2,0.02,123011,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,51,11
1,1,002,1,1,21,1,0,0,0,0,0,40,0.2,0.02,15060,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,52,11
1,1,002,0,1,22,1,3,0,0,0,0,40,0.2,0.02,74064,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,53,11
1,1,002,1,1,16,1,2,0,0,0,0,40,0.2,0.02,64090,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,54,11
1,1,002,0,1,15,1,2,0,0,0,0,40,0.2,0.02,25261,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,55,11
1,1,002,1,0,20,0,2,0,0,0,0,40,0.2,0.02,-21866,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,56,11
1,1,002,1,1,24,1,3,0,0,0,0,40,0.2,0.02,-6980,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,57,11
